year,team1,team2,score1,score2,pscore1,pscore2,winner,pwinner,correct,probability
2016,Villanova,North Carolina,77,74,76.66388686342141,76.14997023029886,Villanova,Villanova,1,0.5168993907538775
2015,Villanova,Lafayette,93,52,80.42888930648036,56.71568565277845,Villanova,Villanova,1,0.9747195477418612
2015,North Carolina State,Louisiana State,66,65,73.12514370092262,67.7470855639675,North Carolina State,North Carolina State,1,0.6712721405659366
2015,Northern Iowa,Wyoming,71,54,67.63506932101974,54.00995886383981,Northern Iowa,Northern Iowa,1,0.869368297910969
2015,Louisville,UC-Irvine,57,55,68.81188130720362,59.0766582498419,Louisville,Louisville,1,0.7889210604983444
2015,Providence,Dayton,53,66,60.045756156016836,60.062185303775394,Dayton,Dayton,1,0.4994595901917954
2015,Oklahoma,Albany (NY),69,60,70.34582489451492,59.13642491879418,Oklahoma,Oklahoma,1,0.8223170198600006
2015,Michigan State,Georgia,70,63,66.69443698241656,59.42041841693947,Michigan State,Michigan State,1,0.7256646756677703
2015,Virginia,Belmont,79,67,76.23780594176039,61.298135956399236,Virginia,Virginia,1,0.8909875994389895
2015,Villanova,North Carolina State,68,71,71.84733478112467,61.056287847962025,North Carolina State,Villanova,0,0.8131965405501727
2015,Northern Iowa,Louisville,53,66,61.56378145150768,62.233577106234804,Louisville,Louisville,1,0.4779793601662765
2015,North Carolina State,Louisville,65,75,62.45861461684501,66.67233328477447,Louisville,Louisville,1,0.36413520869900495
2015,Dayton,Oklahoma,66,72,60.34194695568712,65.82812405575928,Oklahoma,Oklahoma,1,0.32551087533840795
2015,Michigan State,Virginia,60,54,65.48404299612646,62.36814712439707,Michigan State,Michigan State,1,0.6013759159174497
2015,Oklahoma,Michigan State,58,62,66.19904199081896,68.6762470391487,Michigan State,Michigan State,1,0.4190794110287251
2015,Louisville,Michigan State,70,76,64.00052187229369,64.7800595155312,Michigan State,Michigan State,1,0.474376026787559
2015,Duke,Michigan State,81,61,72.53172908760178,64.06620977326976,Duke,Duke,1,0.7574096120664233
2015,Kentucky,Hampton,79,56,83.93985252198348,49.629087085145215,Kentucky,Kentucky,1,0.9976651113501116
2015,Cincinnati,Purdue,66,65,61.67756629714006,58.29449304536945,Cincinnati,Cincinnati,1,0.609854283405302
2015,West Virginia,Buffalo,68,62,65.13462649314309,63.402627055030706,West Virginia,West Virginia,1,0.5567782419048167
2015,Maryland,Valparaiso,65,62,67.4052116080067,60.76574000309749,Maryland,Maryland,1,0.7079597011429944
2015,Butler,Texas,56,48,65.2247479754781,59.992520418599625,Butler,Butler,1,0.6669129355073838
2015,Notre Dame,Northeastern,69,65,78.93511725638754,61.20664656647054,Notre Dame,Notre Dame,1,0.9280934857706402
2015,Wichita State,Indiana,81,76,72.2022401349808,67.47136197557175,Wichita State,Wichita State,1,0.6517567660069172
2015,Kansas,New Mexico State,75,56,67.7412480001887,63.12270624921315,Kansas,Kansas,1,0.6483261836892941
2015,Kentucky,Cincinnati,64,51,64.70019899772342,51.98543401564973,Kentucky,Kentucky,1,0.8527614716823911
2015,West Virginia,Maryland,69,59,56.61773153976394,64.49120019552035,West Virginia,Maryland,0,0.25811139282779094
2015,Butler,Notre Dame,64,67,66.36294722617671,69.31447701777155,Notre Dame,Notre Dame,1,0.4038640823996035
2015,Kentucky,Notre Dame,68,66,70.05708310743293,64.29661925188327,Kentucky,Kentucky,1,0.682591741176584
2015,Wichita State,Kansas,78,65,64.91926213209094,62.35561307262661,Wichita State,Wichita State,1,0.5837032774605244
2015,Kentucky,West Virginia,78,39,68.63048729583076,50.57480989318583,Kentucky,Kentucky,1,0.931718998496138
2015,Notre Dame,Wichita State,81,70,68.81061901072472,66.66126515637902,Notre Dame,Notre Dame,1,0.5703311558219311
2015,Duke,Robert Morris,85,56,85.44801377116605,55.56185537741136,Duke,Duke,1,0.993133200087366
2015,San Diego State,St. John's (NY),76,64,65.85514211555957,61.46994218100876,San Diego State,San Diego State,1,0.6411618332518476
2015,Utah,Stephen F. Austin,57,50,65.8320840217373,61.54576816951155,Utah,Utah,1,0.6381105500677281
2015,Georgetown,Eastern Washington,84,74,78.57699158217305,69.88078799459652,Georgetown,Georgetown,1,0.7633174323857048
2015,Southern Methodist,UCLA,59,60,62.70210694445076,63.302463960933935,UCLA,UCLA,1,0.48026029843757406
2015,Iowa State,Alabama-Birmingham,59,60,73.79508633522158,65.83967639536728,Alabama-Birmingham,Iowa State,0,0.7440670325243138
2015,UCLA,Alabama-Birmingham,92,75,74.18726836011882,69.96083154410248,UCLA,UCLA,1,0.6362585608342813
2015,Iowa,Davidson,83,52,66.9772248486419,69.99115173931753,Iowa,Davidson,0,0.40187277257081466
2015,Gonzaga,North Dakota State,86,76,75.06538772258791,61.30304446527849,Gonzaga,Gonzaga,1,0.8717547295415722
2015,Duke,San Diego State,68,49,71.11724519793374,58.936344915230976,Duke,Duke,1,0.8423908831723753
2015,Utah,Georgetown,75,64,64.1758415688679,60.11498691268193,Utah,Utah,1,0.6311208164043772
2015,Iowa,Gonzaga,68,87,57.10845416443213,68.67000074345904,Gonzaga,Gonzaga,1,0.17022761013842486
2015,UCLA,Gonzaga,62,74,63.346566583388366,76.78687223475698,Gonzaga,Gonzaga,1,0.1338936454999784
2015,Duke,Gonzaga,66,52,70.45327636049807,66.87405599680984,Duke,Duke,1,0.6160457923706035
2015,Duke,Utah,63,57,70.83716922505923,61.389202795925954,Duke,Duke,1,0.7820096871806365
2015,Wisconsin,Coastal Carolina,86,72,80.53246061212467,59.633685232664334,Wisconsin,Wisconsin,1,0.9575678667416441
2015,Oregon,Oklahoma State,79,73,68.61487564154064,72.44694655947212,Oregon,Oklahoma State,0,0.37601652118463413
2015,Arkansas,Wofford,56,53,70.29069495988541,67.07006818578108,Arkansas,Arkansas,1,0.6047052992278638
2015,North Carolina,Harvard,67,65,70.00518085345084,62.667400291517424,North Carolina,North Carolina,1,0.7274140187346206
2015,Xavier,Mississippi,76,57,71.64348030130493,64.63283877481311,Xavier,Xavier,1,0.7183805996337566
2015,Baylor,Georgia State,56,57,62.633415635590836,58.80142960067384,Georgia State,Baylor,0,0.6239808226710967
2015,Xavier,Georgia State,75,67,67.28788019848457,63.605170239424666,Xavier,Xavier,1,0.6193007210164708
2015,Virginia Commonwealth,Ohio State,72,75,69.69776659124147,72.99276552406508,Ohio State,Ohio State,1,0.39293503521205375
2015,Arizona,Texas Southern,93,72,79.49746961748409,55.85482681307505,Arizona,Arizona,1,0.9743743719089052
2015,Wisconsin,Oregon,72,65,83.93259548227691,70.1412412201156,Wisconsin,Wisconsin,1,0.8722553198399858
2015,Arkansas,North Carolina,78,87,74.64515460936536,77.96410098226076,North Carolina,North Carolina,1,0.3921760674713089
2015,Wisconsin,North Carolina,79,72,77.80275948745748,68.05570205261768,Wisconsin,Wisconsin,1,0.7892030127554495
2015,Ohio State,Arizona,58,73,61.99213337526177,70.79880407611324,Arizona,Arizona,1,0.23388177824248868
2015,Xavier,Arizona,60,68,59.875945222770014,71.4760953693357,Arizona,Arizona,1,0.16942269319204928
2015,Wisconsin,Arizona,85,78,67.60393341537494,68.00184374914681,Wisconsin,Arizona,0,0.4869137373600567
2015,Kentucky,Wisconsin,64,71,66.89552412650676,66.49829601956901,Wisconsin,Kentucky,0,0.5130638339563446
2015,Duke,Wisconsin,68,63,71.9750315531461,70.16356126155144,Duke,Duke,1,0.5593645575049286
2014,Wichita State,Cal Poly,64,37,62.83737882346888,52.029160556524474,Wichita State,Wichita State,1,0.8135765005337363
2014,Kentucky,Kansas State,56,49,72.8806275843134,60.52402693565287,Kentucky,Kentucky,1,0.8458556759848976
2014,Saint Louis,North Carolina State,83,80,68.10618150569158,65.22149978613568,Saint Louis,Saint Louis,1,0.5939997949802371
2014,Louisville,Manhattan,71,64,80.97229200427412,62.58436188478723,Louisville,Louisville,1,0.9352544004797901
2014,Massachusetts,Tennessee,67,86,66.31784731717774,77.14372802710876,Tennessee,Tennessee,1,0.18603317226915195
2014,Duke,Mercer,71,78,80.53263543851257,75.29295332193325,Mercer,Duke,0,0.6671363232992977
2014,Tennessee,Mercer,83,63,75.18409744064788,70.74864194196182,Tennessee,Tennessee,1,0.6427091466238352
2014,Texas,Arizona State,87,85,73.18244804889723,75.58493355423141,Texas,Arizona State,0,0.421487952698578
2014,Michigan,Wofford,57,40,74.77310646090915,57.55782488335508,Michigan,Michigan,1,0.9221123947756101
2014,Wichita State,Kentucky,76,78,64.81193713747135,70.05857602224508,Kentucky,Kentucky,1,0.3326552595263491
2014,Wisconsin,Kentucky,73,74,68.4177081580091,67.42555521493047,Kentucky,Wisconsin,0,0.5325988875850652
2014,Connecticut,Kentucky,60,54,70.88821892129013,69.30182941478756,Connecticut,Connecticut,1,0.5520332788422061
2014,Saint Louis,Louisville,51,66,58.265059741877764,71.09568815035648,Louisville,Louisville,1,0.1450496488234846
2014,Kentucky,Louisville,74,69,66.95837318759007,70.4849779592702,Kentucky,Louisville,0,0.3856122204289898
2014,Texas,Michigan,65,79,66.84373740973395,74.84823754404604,Michigan,Michigan,1,0.25463250525537984
2014,Tennessee,Michigan,71,73,67.83802829966551,67.73565868168846,Michigan,Tennessee,0,0.5033672413494655
2014,Kentucky,Michigan,75,72,71.43309534393082,69.08653163258774,Kentucky,Kentucky,1,0.5767075111790905
2014,Florida,Albany (NY),67,55,71.35225015096192,51.39619450540515,Florida,Florida,1,0.9500568980938547
2014,Colorado,Pittsburgh,48,77,60.841225536608675,64.80101295775923,Pittsburgh,Pittsburgh,1,0.37202675820537034
2014,Florida,Pittsburgh,61,45,63.723306321132526,56.57125944558486,Florida,Florida,1,0.7223029545304147
2014,Virginia Commonwealth,Stephen F. Austin,75,77,73.87745694553828,66.76244102961962,Stephen F. Austin,Virginia Commonwealth,0,0.7212783590982095
2014,UCLA,Tulsa,76,59,77.7454852304537,66.20694838512614,UCLA,UCLA,1,0.8292914539980838
2014,Ohio State,Dayton,59,60,66.9729508507678,62.00989746310255,Dayton,Ohio State,0,0.658807554699141
2014,Florida,Dayton,62,52,67.73934737467721,57.8693058302744,Florida,Florida,1,0.792119990501067
2014,Syracuse,Western Michigan,77,53,70.15365138714937,57.499904320384644,Syracuse,Syracuse,1,0.8515998724466071
2014,New Mexico,Stanford,53,58,67.30896393338396,66.37298675067184,Stanford,New Mexico,0,0.5307569077816412
2014,Dayton,Stanford,82,72,68.20832302461527,66.61490683510056,Dayton,Dayton,1,0.5522624326628616
2014,Kansas,Eastern Kentucky,80,69,81.37390667807435,63.43295692955131,Kansas,Kansas,1,0.9304642028402994
2014,Stephen F. Austin,UCLA,60,77,66.5941808720053,75.27105819480678,UCLA,UCLA,1,0.23717445609870813
2014,Florida,UCLA,79,68,70.7876686110657,66.24566183327845,Florida,Florida,1,0.6459819647779529
2014,Dayton,Syracuse,55,53,58.569114356899604,63.6899607371588,Dayton,Syracuse,0,0.3364317964228138
2014,Stanford,Kansas,60,57,68.58289547275227,75.00450138597098,Stanford,Kansas,0,0.29823949417843
2014,Virginia,Coastal Carolina,70,59,76.4707389141627,56.34244238073602,Virginia,Virginia,1,0.951503237353549
2014,Memphis,George Washington,71,66,72.36629934370634,68.99322529932216,Memphis,Memphis,1,0.6095378894447699
2014,Cincinnati,Harvard,57,61,62.92742149877043,61.36047541222578,Harvard,Cincinnati,0,0.5513991007644411
2014,Michigan State,Delaware,93,78,85.99636852443538,72.16781010982584,Michigan State,Michigan State,1,0.8728952945525932
2014,North Carolina,Providence,79,77,72.97317884817998,75.83365383740141,North Carolina,Providence,0,0.40677442265112373
2014,Iowa State,North Carolina Central,93,75,78.39305823019606,71.33456104934461,Iowa State,Iowa State,1,0.719711024777846
2014,Connecticut,Saint Joseph's,89,81,75.30250128227117,58.02250405410314,Connecticut,Connecticut,1,0.9228868047437513
2014,Villanova,Milwaukee,73,53,83.63446692265845,58.775055830363556,Villanova,Villanova,1,0.9798028634968283
2014,Virginia,Memphis,78,60,68.16986659989131,62.600219925446524,Virginia,Virginia,1,0.6769638432300198
2014,Harvard,Michigan State,73,80,67.79616415017404,69.45538203998731,Michigan State,Michigan State,1,0.4455925023692126
2014,Virginia,Michigan State,59,61,63.69234068238211,62.376065344630135,Michigan State,Virginia,0,0.5432118815689488
2014,North Carolina,Iowa State,83,85,78.16745467344353,83.11501917088373,Iowa State,Iowa State,1,0.3416611290645882
2014,Connecticut,Villanova,77,65,71.74612675021586,68.77562123254256,Connecticut,Connecticut,1,0.5967417656922831
2014,Iowa State,Connecticut,76,81,75.78950221348737,81.73252929077998,Connecticut,Connecticut,1,0.31206300410925014
2014,Michigan State,Connecticut,54,60,66.36250378482941,74.11485543724291,Connecticut,Connecticut,1,0.26134883229043465
2014,Arizona,Weber State,68,59,76.59685653826253,58.10985609812677,Arizona,Arizona,1,0.9362805894923527
2014,Gonzaga,Oklahoma State,85,77,70.4869813488114,74.16420359175953,Gonzaga,Oklahoma State,0,0.3808716676744448
2014,Oklahoma,North Dakota State,75,80,78.40254930162408,78.01483161395262,North Dakota State,Oklahoma,0,0.5127511680103256
2014,San Diego State,New Mexico State,73,69,72.31393814234562,62.512201087243795,San Diego State,San Diego State,1,0.7905028752618449
2014,Baylor,Nebraska,74,60,66.5510957534905,60.939026895543236,Baylor,Baylor,1,0.6782185954236452
2014,Creighton,Louisiana,76,66,88.58720294165715,78.69665114707823,Creighton,Creighton,1,0.7926041298293983
2014,Oregon,Brigham Young,87,68,89.58342304286427,82.41456510522218,Oregon,Oregon,1,0.7227674854508658
2014,Wisconsin,American,75,35,69.84783554275009,46.23407037101744,Wisconsin,Wisconsin,1,0.9742319722861895
2014,Arizona,Gonzaga,84,61,70.94416450895943,59.66644421810541,Arizona,Arizona,1,0.8237793248337634
2014,North Dakota State,San Diego State,44,63,61.90042970343637,70.84748467484476,San Diego State,San Diego State,1,0.2303491209653752
2014,Arizona,San Diego State,70,64,65.52500022379007,59.95077247933703,Arizona,Arizona,1,0.6770994382792825
2014,Baylor,Creighton,85,55,71.35635392637505,70.22748082650554,Baylor,Baylor,1,0.537078890536111
2014,Oregon,Wisconsin,77,85,71.57236213802288,78.3245355585453,Wisconsin,Wisconsin,1,0.28885717688238105
2014,Baylor,Wisconsin,52,69,62.67386735403865,69.0751012968671,Wisconsin,Wisconsin,1,0.29882221348273463
2014,Arizona,Wisconsin,63,64,65.86844870273173,62.51591805328847,Wisconsin,Arizona,0,0.6088876298744275
2014,Connecticut,Florida,63,53,65.70025902125069,63.53407358897812,Connecticut,Connecticut,1,0.5708761098746314
